# 接口错误码映射表

## 一、订单相关错误码

### 订单接口 (Order Service)
| 错误码 | HTTP状态 | 含义 | 排查方向 | 归属方 |
|--------|---------|------|---------|--------|
| ORD_001 | 400 | 订单参数校验失败 | 检查请求参数完整性 | 前端/调用方 |
| ORD_002 | 404 | 订单不存在 | 确认订单号是否正确 | 用户/数据 |
| ORD_003 | 409 | 订单状态冲突（重复操作） | 检查订单当前状态 | 前端 |
| ORD_004 | 500 | 订单创建失败（服务端异常） | 查服务日志和数据库连接 | 后端 |
| ORD_005 | 503 | 订单服务降级 | 服务压力过大，等待重试 | 后端 |

### 支付接口 (Payment Service)
| 错误码 | HTTP状态 | 含义 | 排查方向 | 归属方 |
|--------|---------|------|---------|--------|
| PAY_001 | 400 | 支付参数错误 | 检查金额、支付方式等参数 | 前端 |
| PAY_002 | 402 | 余额不足 | 检查账户余额 | 用户 |
| PAY_003 | 408 | 支付回调超时(timeout) | 检查回调链路和网络 | 后端/支付通道 |
| PAY_004 | 409 | 重复支付 | 检查是否已有成功支付记录 | 前端/用户 |
| PAY_005 | 500 | 支付服务内部错误 | 查支付服务日志 | 后端 |
| PAY_006 | 502 | 支付通道网关错误 | 联系支付通道排查 | 支付通道 |
| PAY_007 | 504 | 支付通道响应超时 | 支付通道响应慢或不可用 | 支付通道 |

### 退款接口 (Refund Service)
| 错误码 | HTTP状态 | 含义 | 排查方向 | 归属方 |
|--------|---------|------|---------|--------|
| RFD_001 | 400 | 退款参数错误 | 检查退款金额和订单状态 | 前端 |
| RFD_002 | 403 | 退款条件不满足 | 检查是否超过退款期限 | 业务规则 |
| RFD_003 | 409 | 退款已处理 | 退款已提交，不可重复 | 前端 |
| RFD_004 | 500 | 退款处理失败 | 查退款服务日志 | 后端 |
| RFD_005 | 504 | 退款回调超时 | 回调链路超时，订单状态未同步 | 后端/数据 |

## 二、资产相关错误码

### 资产分配接口 (Asset Service)
| 错误码 | HTTP状态 | 含义 | 排查方向 | 归属方 |
|--------|---------|------|---------|--------|
| AST_001 | 400 | 分配参数错误 | 检查分配数量和目标用户 | 前端 |
| AST_002 | 403 | 无分配权限 | 检查操作者角色和权限 | 权限配置 |
| AST_003 | 409 | 用户已在保护期内 | 检查用户绑定关系 | 业务规则 |
| AST_004 | 422 | 余额不足 | 检查商户可用额度 | 商户/业务 |
| AST_005 | 409 | 用户已绑定其他商户 | 保护期冲突 | 业务规则 |

### 资产回收接口
| 错误码 | HTTP状态 | 含义 | 排查方向 | 归属方 |
|--------|---------|------|---------|--------|
| AST_101 | 404 | 分配记录不存在 | 确认分配记录ID | 用户 |
| AST_102 | 409 | 额度已使用无法回收 | 检查使用状态 | 业务规则 |
| AST_103 | 500 | 回收操作失败 | 服务端异常 | 后端 |

## 三、结算相关错误码

### 结算接口 (Settlement Service)
| 错误码 | HTTP状态 | 含义 | 排查方向 | 归属方 |
|--------|---------|------|---------|--------|
| STL_001 | 404 | 结算单不存在 | 确认结算周期和商户号 | 用户/数据 |
| STL_002 | 409 | 结算单状态冲突 | 检查当前结算单状态 | 后端 |
| STL_003 | 500 | 结算计算失败 | 查结算计算日志 | 后端 |
| STL_004 | 422 | 对账差异超过阈值 | 自动对账未通过 | 数据 |
| STL_005 | 504 | 打款通道超时 | 支付通道响应超时 | 支付通道 |

## 四、商户相关错误码

### 商户服务 (Merchant Service)
| 错误码 | HTTP状态 | 含义 | 排查方向 | 归属方 |
|--------|---------|------|---------|--------|
| MCH_001 | 403 | 商户账户已冻结 | 检查冻结原因和风控记录 | 风控/业务 |
| MCH_002 | 404 | 商户不存在 | 确认商户编号 | 用户 |
| MCH_003 | 409 | 合同状态异常 | 检查合同签署状态 | 数据/业务 |
| MCH_004 | 403 | 权限不足 | 检查角色和权限配置 | 权限配置 |
| MCH_005 | 500 | 商户服务异常 | 查服务日志 | 后端 |

## 五、通用系统错误码

| 错误码 | HTTP状态 | 含义 | 排查方向 | 归属方 |
|--------|---------|------|---------|--------|
| SYS_001 | 429 | 请求频率超限 | 触发限流，等待后重试 | 后端 |
| SYS_002 | 500 | 内部服务错误 | 查服务链路日志 | 后端 |
| SYS_003 | 502 | 上游服务不可用 | 检查依赖服务状态 | 后端 |
| SYS_004 | 503 | 服务熔断 | 触发CircuitBreaker | 后端 |
| SYS_005 | 504 | 调用链超时 | 检查链路中各节点耗时 | 后端 |
